sku,name,category,function,relatives,designer,image,gridorder,neworder
BBL1002,Lotus Floor Lamp,Floor > Decorative,Decorative,Lotus,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl1002gs_5.png,897.0000,,
BBL1018,Octagon Floor Lamp,Floor > Decorative,Decorative,Octagon,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl1018was_5.png,1057.0000,,
BBL1023,Simple Floor Lamp,Floor > Decorative,Decorative,Simple Scallop,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl1023sbs2_8.png,1066.0000,,
BBL1025,Petal Floor Lamp,Floor > Decorative,Decorative,Petal,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl1025sbs_5.png,1053.0000,,
BBL2017,Simple Scallop Wall Sconce,Wall > Decorative,Decorative,Simple Scallop,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl2017sss_5.png,4121.0000,,
BBL2020,Bowmont Single Sconce,Wall > Bath,Bath,Bowmont,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl2020pnwg_5.png,5110.0000,,
BBL2023,Westport Sconce,Wall > Decorative,Decorative,Westport,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl2023sss_12.png,4125.0000,,
BBL2025,Petal Sconce,Wall > Decorative,Decorative,Petal,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl2025sss_8.png,4112.0000,,
BBL2032,All Aglow Sconce,Wall > Decorative,Decorative,All Aglow,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl2032ssamb_5.png,5098.0000,,
BBL3003,Lotus Table Lamp,Table > Decorative,Decorative,Lotus,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl3003gs_5.png,542.0000,,
BBL3006,Moon Glow Table Lamp,Table > Decorative,Decorative,Moon Glow,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl3006wgs_5.png,117.0000,,
BBL3008,Carousel Table Lamp,Table > Decorative,Decorative,Carousel,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl3008sss_8.png,741.0000,,
BBL3009,Simple Cylinder Table Lamp,Table > Decorative,Decorative,Simple Cylinder,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl3009cgs_5.png,33.0000,,
BBL3023,Simple Scallop Table Lamp,Table > Decorative,Decorative,Simple Scallop,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl3023sbs2_1.png,768.0000,,
BBL3024,Petal Desk Lamp,Table > Decorative,Decorative,Petal,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl3024sbs_5.png,733.0000,,
BBL3030,Philosophy Desk Lamp,Table > Decorative,Decorative,Philosophy,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl3030bzs_5.png,704.0000,,
BBL5015,Simple Scallop Large Hanging Shade,Ceiling > Hanging Shade,Hanging Shade,Simple Scallop,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl5015sss_5.png,2257.0000,,
BBL5016,Simple Scallop Hanging Shade,Ceiling > Hanging Shade,Hanging Shade,Simple Scallop,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl5016sss_5.png,2254.0000,,
BBL5023,Westport Hanging Shade,Ceiling > Hanging Shade,Hanging Shade,Westport,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl5023bzs_5.png,2232.0000,,
BBL5024,Reflection Semi-Flush Hanging Shade,Ceiling > Hanging Shade,Hanging Shade,Reflection,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl5024sss_5.png,2248.0000,,
BBL5025,Reflection Large Hanging Shade,Ceiling > Hanging Shade,Hanging Shade,Reflection,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl5025sss_5.png,2251.0000,,
BBL2038,Graceful Ribbon Single Sconce,Wall > Decorative,Decorative,Graceful Ribbon Sconce,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl2038sss_5.png,4093.0000,,
BBL2039,Graceful Ribbon Double Sconce,Wall > Decorative,Decorative,Graceful Ribbon Sconce,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl2039sss_12.png,4096.0000,,
BBL2027,Aspect Library Sconce,Wall > Decorative,Decorative,Aspect,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl2027sbl_9.png,4315.0000,,
BBL2028,Aspect Small Articulating Sconce,Wall > Task,Functional,Aspect,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl2028sbl_1.png,4609.0000,,
BBL2029,Aspect Large Articulating Sconce,Wall > Task,Functional,Aspect,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl2029sbl_1.png,4619.0000,,
BBL2036,Refined Rib Sconce,Wall > Decorative,Decorative,Refined Rib,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl2036ebos_5.png,4040.0000,,
BBL5030,Westport Large Hanging Shade,Ceiling > Hanging Shade,Hanging Shade,Westport,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl5030sbl_5.png,2285.0000,,
BBL5032,Perfect Pleat Hanging Shade,Ceiling > Hanging Shade,Hanging Shade,Perfect Pleat,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl5032sbs_5.png,2267.0000,,
BBL5033,Perfect Pleat Tall Hanging Shade,Ceiling > Hanging Shade,Hanging Shade,Perfect Pleat,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl5033sss_9.png,2271.0000,,
BBL2030,Lyric Branch Sconce,Wall > Decorative,Decorative,Lyric Branch,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl2030sss_9.png,4109.0000,,
BBL5035,French Cuff Double Pendant,Ceiling > Linear,Linear,French Cuff,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl5035sbs_10.png,2957.0000,,
